polarity,homeless,homeless_trend
0.5411,1708,368
0.8702,13,10
0.8702,13,10
0.5267,174,16
0.5267,174,16
0.743,4,-9
0.743,4,-9
0.9601,4,-9
0.9601,4,-9
0.6705,5061,2024
0.6705,5061,2024
0.9118,411,51
0.9118,411,51
0.9172,4,-9
0.9172,4,-9
0.5719,750,120
0.5719,750,120
0.5719,750,120
0.5106,4,-9
0.5106,4,-9
0.5106,4,-9
0.5719,13,10
0.5719,13,10
0.5719,13,10
0.8286,212,84
0.8286,212,84
0.8286,212,84
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.743,205,92
0.743,205,92
0.743,205,92
0.5766,65,-6
0.5766,65,-6
0.5766,65,-6
0.765,709,-241
0.765,709,-241
0.765,709,-241
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.8481,13,10
0.8481,13,10
0.8481,13,10
0.7845,4,-9
0.7845,4,-9
0.7845,4,-9
0.636,1708,368
0.636,1708,368
0.636,1708,368
0.6249,5061,2024
0.6249,5061,2024
0.6249,5061,2024
0.5106,738,121
0.5106,738,121
0.5106,738,121
0.7777,1205,179
0.7777,1205,179
0.7777,1205,179
0.7096,5813,1624
0.7096,5813,1624
0.7096,5813,1624
0.7717,5061,2024
0.7717,5061,2024
0.7717,5061,2024
0.5487,4,-9
0.5487,4,-9
0.5487,4,-9
0.6249,17,3
0.6249,17,3
0.6249,17,3
0.7469,44,13
0.7469,44,13
0.7469,44,13
0.8034,2582,2582
0.8034,2582,2582
0.8034,2582,2582
0.9393,13,10
0.9393,13,10
0.9393,13,10
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.5684,1205,179
0.5684,1205,179
0.5684,1205,179
0.6239,4,-9
0.6239,4,-9
0.6239,4,-9
0.7992,4,-9
0.7992,4,-9
0.7992,4,-9
0.7269,5061,2024
0.7269,5061,2024
0.7269,5061,2024
0.6249,5813,1624
0.6249,5813,1624
0.6249,5813,1624
0.5411,4,-9
0.5411,4,-9
0.5411,4,-9
0.5574,3129,3129
0.5574,3129,3129
0.5574,3129,3129
0.6682,20,-10
0.6682,20,-10
0.6682,20,-10
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.5994,5813,1624
0.5994,5813,1624
0.5994,5813,1624
0.8402,4,-9
0.8402,4,-9
0.8402,4,-9
0.5598,77,-65
0.5598,77,-65
0.5598,77,-65
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.5574,4,-9
0.5574,4,-9
0.5574,4,-9
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.8519,5061,2024
0.6696,4,-9
0.6696,4,-9
0.6696,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.8519,4,-9
0.8519,4,-9
0.8519,4,-9
0.765,5813,1624
0.765,5813,1624
0.765,5813,1624
0.5754,4,-9
0.5754,4,-9
0.5754,4,-9
0.5719,4,-9
0.5719,4,-9
0.5719,4,-9
0.9035,337,114
0.9035,337,114
0.9035,337,114
0.5719,4,-9
0.5719,4,-9
0.5719,4,-9
0.6114,4,-9
0.6114,4,-9
0.6114,4,-9
0.7717,1708,368
0.7717,1708,368
0.7717,1708,368
0.5267,4,-9
0.5267,4,-9
0.5267,4,-9
0.7506,1708,368
0.7506,1708,368
0.7506,1708,368
0.636,709,-241
0.636,709,-241
0.636,709,-241
0.8316,4,-9
0.8316,4,-9
0.8316,4,-9
0.8176,387,78
0.8176,387,78
0.8176,387,78
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.6514,9,-9
0.6514,9,-9
0.6514,9,-9
0.6892,4,-9
0.6892,4,-9
0.6892,4,-9
0.5859,248,-33
0.5859,248,-33
0.5859,248,-33
0.5983,13,10
0.5983,13,10
0.5983,13,10
0.5983,13,10
0.6249,5061,2024
0.6249,5061,2024
0.6249,5061,2024
0.6249,5061,2024
0.6369,4,-9
0.6369,4,-9
0.6369,4,-9
0.6369,4,-9
0.6249,5813,1624
0.6369,4,-9
0.6249,295,-14
0.5106,4,-9
0.872,309,42
0.6249,5061,2024
0.7269,5061,2024
0.5994,251,47
0.6249,5061,2024
0.8402,4,-9
0.7955,2582,2582
0.5859,5061,2024
0.6705,13,10
0.8074,4,-9
0.5411,5061,2024
0.8225,13,10
0.6369,1708,368
0.7184,4,-9
0.6369,0,-403
0.6369,5061,2024
0.7964,5061,2024
0.6369,13,10
0.8519,4,-9
0.8519,4,-9
0.5848,4,-9
0.765,4,-9
0.8528,709,-241
0.765,3129,3129
0.765,4,-9
0.8519,1599,-140
0.6369,4,-9
0.6249,168,-2
0.8519,5061,2024
0.5093,4,-9
0.8213,4,-9
0.8885,1166,426
0.8519,266,-51
0.8338,1166,426
0.765,1166,426
0.7783,5813,1624
0.8519,5061,2024
0.9147,5813,1624
0.7777,4,-9
0.8442,2582,2582
0.6114,4,-9
0.7049,4,-9
0.6369,987,987
0.5859,51,18
0.9359,1708,368
0.5719,165,44
0.7142,4,-9
0.5719,5061,2024
0.5994,5061,2024
0.6808,5061,2024
0.7964,4,-9
0.5386,5061,2024
0.6808,5061,2024
0.9037,5061,2024
0.6249,5061,2024
0.5093,5813,1624
0.7184,4,-9
0.8038,4,-9
0.5106,1708,368
0.5574,4,-9
0.5859,165,44
0.7474,225,107
0.6597,121,72
0.5719,5813,1624
0.7096,1166,426
0.5994,12,2
0.6696,5061,2024
0.5267,13,10
0.5562,0,-403
0.8168,5061,2024
0.8168,5061,2024
0.8168,5061,2024
0.765,4,-9
0.765,4,-9
0.765,4,-9
0.7672,1367,380
0.7672,1367,380
0.7672,1367,380
0.5574,295,-14
0.5574,295,-14
0.5574,295,-14
0.8625,5813,1624
0.8625,5813,1624
0.8625,5813,1624
0.8481,5061,2024
0.8481,5061,2024
0.8481,5061,2024
0.8176,4,-9
0.8176,4,-9
0.8176,4,-9
0.765,5813,1624
0.765,5813,1624
0.765,5813,1624
0.5538,4,-9
0.5538,4,-9
0.5538,4,-9
